Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,Compression Engine Network Line,y = 1.13124 + 1.00072*x,1.1312366633130626,1.0007185643236054,[1.0007185643236054],"[1.1312366633130626, 1.0007185643236054]",0.9999996922830073,8,1.2692793897718986,2.82210266864692,2.4012454079054875,3.955185351928537
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,ENet Network Line,y = 0.913569 + 1.00329*x,0.9135691366638727,1.0032859044510727,[1.0032859044510727],"[0.9135691366638727, 1.0032859044510727]",0.9999970955834123,8,0.5514499979728752,2.102605194126567,1.4658288153574364,3.0222386094475437
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,ERFNet Network Line,y = 0.33335 + 1.0001*x,0.33335028875669526,1.0001036319757353,[1.0001036319757353],"[0.33335028875669526, 1.0001036319757353]",0.9999943879568791,8,1.4611982886224932,3.0175258171657218,1.795184589682424,3.351502556502023
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,ESPNet Network Line,y = 0.859947 + 0.999974*x,0.8599469739136805,0.9999743797714673,[0.9999743797714673],"[0.8599469739136805, 0.9999743797714673]",0.9999982401125476,8,0.7795964912578245,2.336019211951666,1.6397852129868202,3.1960821837002844
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,EliteNet Network Line,y = 1.97369 + 1.00649*x,1.9736894077791836,1.0064911403519805,[1.0064911403519805],"[1.9736894077791836, 1.0064911403519805]",0.9986000404826696,8,-0.215582428907505,1.3408405498123315,1.7683420586445333,3.324695970175476
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,Jet Seg Network Line,y = 0.462524 + 0.999945*x,0.4625237558520978,0.9999448665500437,[0.9999448665500437],"[0.4625237558520978, 0.9999448665500437]",0.9999999337790088,8,1.1473671077937864,2.70372115992702,1.6098077693287023,3.166089531351996
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,SegFormer-BO Network Line,y = 1.29556 + 0.762609*x,1.2955550524800463,0.7626090437226658,[0.7626090437226658],"[1.2955550524800463, 0.7626090437226658]",0.9948615884118187,7,0.9350031514536548,2.5175125930164413,1.9721565358594937,3.1756683399059042
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,UNet w/o Skip Connection Network Line,y = 0.845466 + 1*x,0.8454659971204896,1.0000043549959998,[1.0000043549959998],"[0.8454659971204896, 1.0000043549959998]",0.9999998570597375,7,1.974143099902215,3.178283248067019,2.8195834150639087,4.0237025752663955
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,UNext w/o skip Network Line,y = 1.28497 + 1.00036*x,1.2849704394628403,1.000362590348223,[1.000362590348223],"[1.2849704394628403, 1.000362590348223]",0.9999999122914698,8,1.4440447959180762,2.99916535307705,2.72935920638567,4.285064454006368
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,Global Trendline,y = 1077.02 + 1.817*x,1077.020315182268,1.816999791725324,[1.816999791725324],"[1077.020315182268, 1.816999791725324]",0.49242096534622937,71,29.23,19278.11,17.04922,54342.05
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,Compression Engine Network Line,y = -197.422 + 1.46678*x,-197.42191929722685,1.4667775419450029,[1.4667775419450029],"[-197.42191929722685, 1.4667775419450029]",0.9913645354443978,8,251.91,9019.56,295.54334,13352.89821
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,ENet Network Line,y = 130.358 + 6.49488*x,130.35814795933584,6.494875675463489,[6.494875675463489],"[130.35814795933584, 6.494875675463489]",0.9989011125354622,8,29.23,1052.54,244.95,6916.19
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,ERFNet Network Line,y = -777.8 + 7.20386*x,-777.8001960511956,7.203864693936103,[7.203864693936103],"[-777.8001960511956, 7.203864693936103]",0.9932641182729236,8,62.4,2246.48,299.14,15765.34
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,ESPNet Network Line,y = 374.686 + 20.4969*x,374.6861768892395,20.49689058667684,[20.49689058667684],"[374.6861768892395, 20.49689058667684]",0.9949284050661088,8,43.63,1570.66,1034.8,32823.34
