Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,R_Squared,Data_Points
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,FCN_R50 Network Line,y = 0.198647 + 0.424508*x,0.9999998508327363,8
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,LinkNet Network Line,y = -1.18917 + 3.37265*x,0.9999988851648137,8
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,PSPNet Network Line,y = 3.21621 + 1.01465*x,0.9999938511703766,8
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,SUMNet w/o Skip Connection Network Line,y = 0.800068 + 3.19547*x,0.9999999784032093,7
Medium_FLOPs_vs_Act_Size_linear,Medium,FLOPs,Act_Size,linear,SegNet Network Line,y = 2.32318 + 0.351373*x,0.999984639671402,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,Global Trendline,y = 0.553066 + 0.829274*x,0.6002038866678744,39
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,FCN_R50 Network Line,y = -0.371897 + 0.999968*x,0.9999995813970045,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,LinkNet Network Line,y = 0.52065 + 1.0026*x,0.9999973824517524,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,PSPNet Network Line,y = 0.027282 + 0.99364*x,0.9999771634848641,8
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,SUMNet w/o Skip Connection Network Line,y = 0.50451 + 1.00001*x,0.9999999829479186,7
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,SegNet Network Line,y = -0.439606 + 0.99624*x,0.9999715413543393,8
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,Global Trendline,y = 4602.68 + 4.28032*x,0.594345033175429,39
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,FCN_R50 Network Line,y = 377.58 + 8.09651*x,0.994925349123806,8
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,LinkNet Network Line,y = -315.537 + 3.4742*x,0.9888824494351561,8
